,comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback
43,3209,171,687221,http://i0.hdslb.com/bfs/archive/f8ebefbd4b05eb3ba4867b02af9e5b59fb1c84bd.jpg,,【2022LPL夏季赛】季后赛 8月17日 LNG vs BLG,1,【2022LPL夏季赛】季后赛 8月17日 LNG vs BLG,0,哔哩哔哩英雄联盟赛事,50329118,1660731349,231:37,8685,942064704,BV1vW4y1h7ku,False,0,0,0,0
44,175,171,82884,http://i2.hdslb.com/bfs/archive/891dfa9a86e3b30b523ece939f7b804cb376cc33.jpg,,【LPL夏季赛TOP5】8月16日：寒影如龙表里杀 诛恶镇魂绝念斩,1,【LPL夏季赛TOP5】8月16日：寒影如龙表里杀 诛恶镇魂绝念斩,0,哔哩哔哩英雄联盟赛事,50329118,1660661787,04:24,106,772118360,BV1d14y147X2,False,0,0,0,0
45,217,171,93293,http://i2.hdslb.com/bfs/archive/8760fc1f827c046f488ce54b1040233baa417cc2.jpg,,【LPL赛事速看】季后赛D1:Care完美发挥 FPX三比二击败OMG,1,【LPL赛事速看】季后赛D1:Care完美发挥 FPX三比二击败OMG,0,哔哩哔哩英雄联盟赛事,50329118,1660661296,27:01,587,857004945,BV1uV4y1s7Fp,False,0,0,0,0
46,3130,171,727879,http://i1.hdslb.com/bfs/archive/08d5e93244598c52d5474452427a6f870943cb40.jpg,,【2022LPL夏季赛】季后赛 8月16日 OMG vs FPX,1,【2022LPL夏季赛】季后赛 8月16日 OMG vs FPX,0,哔哩哔哩英雄联盟赛事,50329118,1660644793,296:02,8806,602075477,BV1WB4y1L7cj,False,0,0,0,0
47,4977,171,1678764,http://i1.hdslb.com/bfs/archive/0db81916b5a1013829412ca60e0314faad6bb9c6.jpg,,【2022LPL夏季赛】8月14日 饭堂周末夜,1,【2022LPL夏季赛】8月14日 饭堂周末夜,0,哔哩哔哩英雄联盟赛事,50329118,1660495893,128:19,41504,472095421,BV1cT411P7RS,False,0,0,0,0
48,223,171,57673,http://i2.hdslb.com/bfs/archive/c1cfbedd3cccd01a2faf30683d6db6fbab2b138a.jpg,,【LPL夏季赛TOP5】8月14日：无双利刃破空刺 花火跃动耀苍穹,1,【LPL夏季赛TOP5】8月14日：无双利刃破空刺 花火跃动耀苍穹,0,哔哩哔哩英雄联盟赛事,50329118,1660490501,05:10,144,729572801,BV12S4y1p77b,False,0,0,0,0
49,239,171,79485,http://i2.hdslb.com/bfs/archive/0b5777f9170d24648edfca0553e8bc503cea82ac.jpg,,【LPL赛事速看】W10D7:UP二比零WE  LGD让一追二击败RNG,1,【LPL赛事速看】W10D7:UP二比零WE  LGD让一追二击败RNG,0,哔哩哔哩英雄联盟赛事,50329118,1660490009,27:58,692,729513873,BV1MS4y1x7xZ,False,0,0,0,0
50,10392,171,1113299,http://i1.hdslb.com/bfs/archive/fcf5d516d474be4eed21f211ab72fd90521f53ea.jpg,,【2022LPL夏季赛】8月14日 LGD vs RNG,1,【2022LPL夏季赛】8月14日 LGD vs RNG,0,哔哩哔哩英雄联盟赛事,50329118,1660480214,190:14,29020,942008507,BV17W4y1h7Jm,False,0,0,0,0
51,1358,171,220006,http://i1.hdslb.com/bfs/archive/b7dfc8c6204b399864c6b586786ba1fbe8dbb935.jpg,,【2022LPL夏季赛】8月14日 UP vs WE,1,【2022LPL夏季赛】8月14日 UP vs WE,0,哔哩哔哩英雄联盟赛事,50329118,1660471929,110:03,1841,644441129,BV1GY4y1c7X1,False,0,0,0,0
52,97,171,65559,http://i0.hdslb.com/bfs/archive/616069d069fb0666438d4dae01fd1b7b44b88953.jpg,,【LPL夏季赛TOP5】8月13日：寒影突刺缭乱杀 超限花火漫天舞,1,【LPL夏季赛TOP5】8月13日：寒影突刺缭乱杀 超限花火漫天舞,0,哔哩哔哩英雄联盟赛事,50329118,1660403623,05:08,96,856988041,BV1VV4y1s7Cg,False,0,0,0,0
53,169,171,83590,http://i1.hdslb.com/bfs/archive/741a58dcf2a002494ca7d9b3c6302d2ec46328b2.jpg,,【LPL赛事速看】W10D6: TT一比二不敌RA 无缘季后赛  TES二比零击败AL 圆满结束常规赛,1,【LPL赛事速看】W10D6: TT一比二不敌RA 无缘季后赛  TES二比零击败AL 圆满结束常规赛,0,哔哩哔哩英雄联盟赛事,50329118,1660400849,26:42,289,729416548,BV1DS4y1s7TB,False,0,0,0,0
54,2422,171,518185,http://i2.hdslb.com/bfs/archive/950e53bbbc83109e2183ef51a207f84984aee25e.jpg,,【2022LPL夏季赛】8月13日 AL vs TES,1,【2022LPL夏季赛】8月13日 AL vs TES,0,哔哩哔哩英雄联盟赛事,50329118,1660396013,120:03,4789,599451773,BV1aB4y167mp,False,0,0,0,0
55,728,171,146689,http://i1.hdslb.com/bfs/archive/203c1286ff1245f6be1a08f913c5dbb153aeff11.jpg,,【2022LPL夏季赛】8月13日 TT vs RA,1,【2022LPL夏季赛】8月13日 TT vs RA,0,哔哩哔哩英雄联盟赛事,50329118,1660385680,171:57,604,216978146,BV1Xa411P7kX,False,0,0,0,0
