排名,球员名,出手数
510,肖恩-巴蒂尔,2982
511,Dave Greenwood,3251
512,卢克-里德诺,2933
513,戴尔-戴维斯,3592
514,杰克-科尔曼,2813
515,安德烈-德拉蒙德,3661
516,兰迪-弗耶,2704
517,乔治-希尔,3070
518,达夫-甘比,2820
519,安德里亚-巴尼亚尼,2932
520,凯文-格里文,2915
521,何塞-巴里亚,2821
522,钱宁-弗莱,2931
523,Fred Scolari,2132
524,迈克尔-比斯利,3088
525,罗伯特-霍里,2820
526,DJ-奥古斯丁,2737
527,安德烈-基里连科,3146
528,阿隆-阿弗拉罗,2983
529,凯文-波特,3194
530,梅米特-奥库,3028
531,克里斯-米德尔顿,3024
532,鲍比-杰克逊,2755
533,克莱格-埃卢,2977
534,埃尔摩尔-史密斯,3169
535,考特尼-李,2961
536,莫里斯-皮特森,2747
537,雷杰-刘易斯,3198
538,O.J.-梅奥,2808
539,德斯蒙德-梅森,2931
540,莱恩-安德森,2755
541,Gerald Henderson_,3079
542,达雷尔-阿姆斯特朗,2663
543,格雷格-门罗,3339
544,斯特西-奥格蒙,3037
545,奎因汀-戴利,2936
546,康尼尔-霍金斯,3013
547,姚明,3380
548,迈克尔-凯奇,3317
549,乔-考德威尔,2958
550,何塞-卡尔德隆,3038
551,迈克尔·库珀,3014
552,史蒂夫-米克斯,3204
553,斯波特-韦伯,2903
554,布莱恩-肖,2589
555,拉方索-艾利斯,2895
556,达夫-科尔辛,3097
557,特洛伊-墨菲,2848
558,拉夫-阿尔斯通,2450
559,马特-巴恩斯,2788
560,奈尔-沃克,2928
561,吉姆-波拉德,2299
562,拉萨尔-汤普森,3136
563,布鲁-爱德华兹,3021
564,科瑞-基德尔斯,2779
565,布莱恩-格兰特,3103
566,埃文-特纳,2748
567,安迪-菲利浦,2323
568,科里-布鲁尔,2682
569,布伦特-巴里,2896
570,查尔斯-史密斯,2993
571,塞德里克-麦克斯维尔,3433
572,伍迪-桑德贝里,2189
573,里克-马洪,3098
574,凯文-爱德华兹,2650
575,罗恩-安德森,2936
576,马基夫-莫里斯,2797
577,Danny Schayes,2994
578,特里-米尔斯,2847
579,康尼尔-西蒙斯,2180
580,Muggsy-博格斯,2845
581,鲍比-琼斯,3412
582,雷吉-杰克逊,2653
583,艾弗里-布拉德利,2702
584,汤姆-霍金斯,2761
585,马尔钦-戈塔特,3401
586,约什-霍华德,2759
587,里德-罗查,2276
588,泰-吉布森,3166
589,乔治-麦克劳德,2469
590,迈尔-康特斯,2665
591,赫姆-吉列姆,2696
592,邦奇-威尔斯,2814
593,查理-维兰纽瓦,2652
594,詹姆斯-波西,2495
595,弗林-罗宾逊,2775
596,达里尔-道金斯,3477
597,劳伊-奥特,3061
598,鲍伯-戴维斯,2292
599,沃利-琼斯,2478
600,丹尼斯-施罗德,2632
601,马特-哈普林,2900
602,维尼·德纳格罗,2863
603,鲍伯-卢尔,2777
604,查基-阿特金斯,2479
605,维克多-奥拉迪波,2654
606,拉尔夫-桑普森,2924
607,肯尼-凯尔,3057
608,比姆博-科尔斯,2549
609,约翰-布洛克,2592
610,BJ 阿姆斯特朗,2850
611,比利-欧文斯,2873
612,泰森-钱德勒,3558
613,威利-安德森,2804
614,拉加-贝尔,2581
615,德里克-费弗斯,3151
616,肖恩-布拉德利,2713
617,德里克-安德森,2419
618,本诺-尤德里,2740
619,艾尔·比安奇,2212
620,迈克-里奥丹,2773
621,沃尚-莱纳德,2444
622,保罗-普莱西,2855
623,艾尔伯特-金,2709
624,埃文-富尼耶,2637
625,埃梅卡-奥卡福,3004
626,柯蒂斯-罗威,2821
627,雷-法利克斯,2406
628,道格-科林斯,2927
629,保罗-西摩尔,2039
630,迪-布朗,2540
631,布拉德-戴维斯,2970
632,内特-罗宾逊,2458
633,罗恩-默塞尔,2490
634,鲍比-温泽尔,2268
635,Nathaniel Clifton,2082
636,马克-奥伯丁,2824
637,罗宾-洛佩斯,3040
638,卡尔-安东尼-唐斯,3063
639,唐·切尼,2513
640,德文-布克,2558
641,安德鲁-托尼,2859
642,拉素尔-巴特勒,2293
643,威利-格林,2417
644,达内尔-沃克,2469
645,斯图-朗姿,2469
646,阿伦-里维尔,2549
647,乔丹-克拉克森,2528
648,特伊隆-希尔,2834
649,罗伊-希波特,2622
650,弗兰克-塞尔维,2222
651,特伦特-塔克,2594
652,丹尼-费里,2505
653,汤姆-亨德森,2426
654,埃里克-丹皮尔,2784
655,安德鲁-博古特,2986
656,Bucky Bockhorn,2245
657,洛伦岑-怀特,2556
658,罗伊-辛森,2776
659,埃内斯-坎特,3013
660,扎扎-帕楚里亚,2608
661,杰拉德-格林,2312
662,Al Attles,2499
663,克里斯-米尔斯,2391
664,拉蒙-塞申斯,2406
665,弗兰克-布里克考斯基,2873
666,奎因·巴克纳,2546
667,德肖恩-史蒂文森,2238
668,帕特-卡明斯,2734
669,阿隆-布鲁克斯,2261
670,达尔文-库克,2479
671,布兰登-奈特,2250
672,道格-韦斯特,2631
673,克里斯-加特林,2804
674,杰克-尼古拉斯,2013
