用户,转发数,评论数,点赞数,评论
电竞小小徐,50,70,278,v5前教练曝料：去年JDG给Knight开出4500w工资，左手没去，目前接触LWX的LPL战队很多，Uzi大概率不会复出了。#英雄联盟# #英雄联盟S12# 
不致十枳,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 我几年不打英雄联盟了，但当看见JDG英勇杀敌的时候，我的心又沸腾起来了，热血澎湃，激情飞扬，DK加油！LPL加油！中国队加油！我希望你们能拿到冠军，在战场上肆意高昂，那就在6号的总绝赛上见证你们的光辉时刻，我们巅峰再见！中国队Y ...全文
54喷塔QAQ,0,0,0,英雄联盟手游 @英雄联盟手游 @英雄联盟手游赛事 #wrl2# 常规赛第三周对战FPX战队 3-2 JDG战队拿下本场胜利，恭喜恭喜~#竞燃有我##英雄联盟手游# 
大电竞eSportsFocus,8,7,34,【2022全球总决赛淘汰赛 战队&amp;英雄最数据】最高一血率：RGE &amp; RNG &amp; DRX最高峡谷先锋控制率：JDG最高小龙控制率：RGE最高一塔率：DK最高纳什男爵控制率：T1最高血腥程度：T1最高Ban率英雄：悠米 &amp; 凯特琳最高Pick率英雄：佛耶戈最高胜率英雄：千珏 &amp; 永恩#S12淘汰赛# #英雄联盟S12# ...全文
剧综团团,200,201,212,#陈卓璇WRL舞台首秀# 特邀美女姐姐为JDG、FPX两支战队加油助威！今晚19:00，一起来看舞台首秀 
7_Pao,0,0,2,啊啊啊没看到了什么?JDG全员续约?我不管，是真的一定是真的 
狗勾多吃饭_,0,0,0,#为LPL出征S12助威##酷睿i9，为超神而生#  @英特尔中国 #为LPL出征S12助威##酷睿i9，为超神而生#   中国队的精彩表现，太棒了。JDG加油！中国队加油！一定要拿下比赛！冲啊！JDG为你欢呼！ 
头像感觉很好吃,0,1,0,谢谢各位大师 让我觉得我前两天jdg和t1那场完全算错也很正常了 原来大家一样错！ 
吐槽帝逍遥先森,0,0,0,#酷爽冬游季##游戏先锋团##超话创作官##英雄联盟手游# 常规赛第一阶段W3D1 TOP5TOP1:JDG.Feibai@JDG_飞白 亚索狂风绝息斩势不可挡秀翻全场TOP2:TT.Z@TT_粥粥 永恩思路清晰上演细节单杀TOP3:EDG.Tak@EDGTak 牛头控制满中之满无解开团TOP4:JDG.Jiujiu@JDG_jiujiu 发条魔灵无解大招终结比赛TOP5:EDG ...全文
九澜游戏,0,3,2,英雄联盟手游 第二届英雄联盟手游职业联赛 常规赛第一阶段W3D3#WRL2#11月4日 今日赛果&amp;积分榜WBG 2:3 EDGFPX 3:2 JDG恭喜EDG英雄联盟手游分部 FPX英雄联盟手游分部 拿下今日比赛胜利！周末来咯，明日下午14点我们将迎来三场BO5对决：OC对阵KBG，WHG对阵NV，JT对阵OMG。请大家定好闹钟一起 ...全文
i手游叔,0,0,1,【英雄联盟手游职业联赛 #WRL2#常规赛第一阶段W3D3 】FPX 获胜赛后采访：FPX.小马！#英雄联盟手游##FPX击败JDG# i手游叔的微博视频 
魄罗能量小助手,0,1,0,【WRL2】常规赛第一阶段W3D3第五局赛果#WRL2##英雄联盟手游##LOL手游暗夜破晓##FPX击败JDG# 
拾二吨桃·,0,11,59,#米勒娃娃预测S12决赛#太感人辣 wawa老师宁愿说rng jdg菜 也不愿意承认t1强 这何尝不是一种偏爱呢 
王沫沫Cute,0,0,1,【WRL常规赛】FPX赛后采访XIAOMA:感谢今天为我带来这场胜利让我非常开心#WRL2# #FPX击败JDG# #竞燃有我#  王沫沫Cute的微博视频 
英雄联盟手游辰熙,0,12,9,#英雄联盟手游#【职业联赛常规赛第一阶段W3D3】第五局FPX奥拉夫和腕豪各带一路超级兵，JDG抵挡不住FPX的强势进攻，水晶被破，恭喜FPX以3：0拿下本场比赛胜利。#WRL2##FPX击败JDG# 英雄联盟手游辰熙的微博视频 
王东来又回来了,0,0,0,#WRL2##FPX击败JDG#最终 FPX 还是击败了 JDG ，赢得了本场比赛的胜利。不得不说 FPX 的打野核心点位的玩法还是非常成功的，特别是在英雄联盟这个推塔游戏里打野点位，在中后期强势偷塔也能够赢得胜利，所以这一次奥拉夫真的立功了。从某种程度上来说，英雄联盟如果拖到后期，对于一些后期比较强势 ...全文
又又又又又改名字啦,0,0,1,jdg喵神 无论如何，🐱哥最棒 
无言游戏,0,0,0,第五局赛果，恭喜FPX赢得本场比赛！FPX 3:2 JDG#WRL2##FPX击败JDG# 
LOL手游君,0,0,0,英雄联盟手游#WRL2##FPX击败JDG#⭐第二届英雄联盟手游职业赛联赛⭐⭐11.4第二场第五局赛果⭐FPX3：2击败JDG，拿下今日第二场比赛的胜利， 
