用户,转发数,评论数,点赞数,评论
Aaron-7Cat,0,1,21,EDG  #小银龙幼儿园# 《直男如何用一句话发言毁掉氛围感》👧🏻：哇这张好绝！是小精灵下凡了嘛QAQ👦🏻：它好像在cos一只袋鼠🦘👧🏻：…………………………………………………… 
亦冬雨,0,1,1,EDG解散吧味道太冲了 哥们顶不住了 
ZaTesss,0,3,2,请欣赏吧，明天将是Deft的最强一舞，也是三星十子的最后一舞，离开三星后的Deft几经迁转从EDG到DRX终于站在了S赛的决赛舞台上，这八年的颠沛流离成就了这个站在舞台挥舞身姿去挑战魔王的舞者。他代表着三星十子最后的星光，也是塔拉哈西最后的骑士，更是DRX最锋利的龙牙，加油吧戴先生，去追逐那个属于 ...全文
ZOE蝎子,0,7,20,朴到贤viper 太想per啦，又去重看了per刚来edg时候的拆粉丝礼物开箱直播，那时候还是奶奶的好乖的馍馍，还有点拘谨，超可爱 
疾风怪宝,0,17,23,【NEST2022英雄联盟预选赛将于11月10日至11月15日在线上举行】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#S12竞燃有我##超话创作官# 
武汉租房下耿,0,0,1,洪山区二号线街道口附近优质好房，优质单间有需要滴滴。。武汉放心租房武汉无中介租房武汉租房无中介武汉租房大武汉租房电影热烈芋圆cp时空中的绘旅人EDG 武汉·街道口 
Lohvy,0,5,28,EDG 再看不见新鲜电人 我真的会彻底疯狂！ 
奶盖盖盖,27,181,762,EDG“出现矛盾也不会说影响到我们彼此的情感吧” -年度纪录片预告02 
玩加电竞LOL,17,70,377,【NEST2022英雄联盟线上预选赛选手大名单】A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX#NEST2022# #FPX一队出战NEST# 
超话社区,3,8,64,S12英雄联盟世界赛#超话创作官#第四期出炉啦告诉大家一个小秘密㊙️：电竞#超话创作官# @英雄联盟TOP1在10月份期间实现了11.9万的粉丝增长！这粉丝增长的速度就是本超话君也羡慕不来呀！接下来，一起去看下电竞大神在 ...全文
吃瓜的空白,5,4,36,这个EDG从T1青训淘来的小中单能接住胖和学弟的大旗吗？和Zeus，Oner同一时期青训的小中单，老岳说合同在EDG，只是年龄不够租出去了，现在应该要回来了。这几年EDG也没放弃寻找下一代接班人，阿布和爱德朱说青训有一帮底子好的，但是能不能接住大旗还未可知。#EDG官宣FISHER加入##2022LOL冬季转会期 ...全文
华二的狐狸尾巴,0,21,55,EDG家人们，这几个娃子是咱们家的吗？？第二个男生是有点颜值在身上的哇！ 
00后也要考虑生活,0,2,17,EDG明天能看到新鲜的颗粒儿辣舞了，芜湖，芜湖 
游戏团,0,23,88,前V5教练声称：Viper和Kanavi想回LCK，Scout不想走，EDG没了Viper和Scout EDG还叫EDG么？#英雄联盟# #英雄联盟S12# 
傲娇暖男Karry王9,0,11,13,EDG小鱼儿好像 好像 方一凡啊 
llovablee_,0,1,6,EDG 咱就是说放羊的星星也就算了后面那个电竞经理要笑死谁【E D G 转 会 期 现 状-哔哩哔哩】 网页链接 
三连游戏君,3,6,44,RNG、EDG、TES、JDG，从#英雄联盟S12#回来的四支队伍进入静默期 
游戏团,0,23,88,前V5教练声称：Viper和Kanavi想回LCK，Scout不想走，EDG没了Viper和Scout EDG还叫EDG么？#英雄联盟# #英雄联盟S12# 
llovablee_,0,1,6,EDG 咱就是说放羊的星星也就算了后面那个电竞经理要笑死谁【E D G 转 会 期 现 状-哔哩哔哩】 网页链接 
我不礼杰_,0,8,100,EDG如果要上个一队的 就让田队上吧 咳咳 
三连游戏君,3,6,44,RNG、EDG、TES、JDG，从#英雄联盟S12#回来的四支队伍进入静默期 
姜饼栗籽,0,0,0,真的无语 前阵子EDG选手新冠了 现在连苔藓也…真心痛恨新冠 痛恨公司几亿年 气死人吧 连艺人都保护不好 干点人事吧 我你吗真的想杀人 
用户6743839520,0,0,1,去年的edg就给了我们一种错觉让我们觉得lpl可以从四个lck的队伍里突围出来，今年没什么好遗憾的打不过就是打不过，明年见。 用户6743839520的微博视频 
琴女你怎么骂人啊,0,6,5,NEST2022英雄联盟线上预选赛选手名单队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX预选赛赛程：2022年11月10日至11月15日英雄联盟#NEST2022# 
放我出去我要吃饭,0,0,1,我现在看到营销号发王嘉尔就想到去年总决赛那个#王一博跳骚舞导致edg第二把失利#  的话题 
虎扑电竞,0,10,18,【NEST预选赛C组名单：LGD全一队，RNG全二队，EDG两位04中单】C组：LGD、RNG、EDG#NEST2022# #英雄联盟# 
吐槽帝逍遥先森,0,0,1,#酷爽冬游季##游戏先锋团##s12竞燃有我# 【2022全球总决赛淘汰赛 选手最数据】最多单杀：DRX.Zeka最高分均伤害：EDG.Scout最高场均参团率：DRX.BeryL最高场均对线经济差：DK.Canyon最高分均补刀：RNG.GALA最高场均视野得分：RNG.Ming 
千岅银时,0,3,19,EDGdy看到脑残了真晦气啊 
wxwwkyyg,0,2,35,EDG 对不起各位，刚才看到EDG.y的名单，下面看到一条，“你队中单的名字第二个字怎么总是这么难认。”蚌埠住了，哈哈哈哈哈，大家都文盲，没关系。 
