用户,转发数,评论数,点赞数,评论
英雄联盟菌,58,91,797,【LPL选手合同到期一览：RNG、EDG以及TES关键选手合同今年到期】RNG：除了夏季赛转会过来的上单Breathe选手合同到期时间未知以外，其余四人包括替补辅助合同皆今年到期。EDG：Junjia合同到期时间未知，Jiejie合同于明年到期，其余四名选手Meiko、Scout、Flandre以及Viper的合同都在今年到期。TES ...全文
chibbo_,0,0,1,冬转能不能快点开始？对，没错！就是想看rng赶紧解散98赶紧离开这只狗比队 
小灯侦探,0,14,6,不小心忘了，宝石哥哥的爱情就是性骚扰不是吗一生嫌弃3➗，最后还不是给3➗发些瞎眼的东西，因为我是单恋追人失败去rng超话发帖求安慰造谣对方主动的对方骗我的的无辜男一枚呀～ 
飞飞家的小朋友吖,2,68,165,rng cc在rng，wei大概率不会走吧……，小威又说过陪小虎打到退役…希望五个人整整齐齐再冲一年 
RNG-卧龙,0,16,16,rng上单呼吸，打野小黄人，中单汤圆，adAsaum，辅助hang 
琴女你怎么骂人啊,45,624,5332,Doinb今晚爆料总结（截至当前）RNG除了上路全部到期了，xiaohu没续约，好像都准备走Jackeylove夏季赛就续约了Wbg经理爆料的那位不是选手（弹幕猜测是红米，只是弹幕猜测！）LPL会有新的LCK选手过来，不是成绩特别好的战队出来的，没进世界赛，但季后赛成绩还可以有些选手想一起抱团打，但是 ...全文
反正后海不打狙,0,0,8,你说的曙光那是什么意思rng 宝鸡 
我也想有条尾巴,0,16,9,rng 9994 
SerndiPity_,0,0,1,显示器的盒子突然掉出来一件t恤 我成rng粉丝了 
青鸾电竞,29,50,249,LPL爆料人：WBG有意招揽Wei以及Gala，其他三人不变据LPL转会爆料人“恋恋红茶”消息，WBG俱乐部有意现RNG打野Wei及下路Gala；而WBG其他位置三人不变。WBG目前阵容为上单Theshy、打野Sofm、中单Angel、下路Huanfeng、辅助On#英雄联盟# #英雄联盟s12# 
游戏团,0,8,14,网友热议：根据RNG全员RANK量，如何评价UZI在队说的这段话？#英雄联盟# #英雄联盟S12# 
吃瓜的空白,4,14,196,网友投稿：RNG续约小虎，以小虎为核心进行队伍的组建。Jackeylove点名签Ming，而且TES还在接触Rookie，补强中辅。#2022LOL冬季转会期##英雄联盟##S12竞燃有我# 
秦66很6,0,0,18,rng多看看开心的事吧 
QQ飞车手游官方赛事,0,20,62,s联赛#2022S联赛秋季赛##S联赛全新十速#【2022年S联赛秋季赛常规赛】第五周第三个比赛日第三场第二轮道具赛RSG vs RNG.M恭喜@RSG电竞俱乐部 拿下本场比赛胜利！⭐王图选择环节：RSG：极地冰镇RNG.M：水行玛雅⭐BAN图环节：RSG：聆风镇、旧梦码头RNG.M：千户苗寨、1号公路⭐场上 ...全文
解说小森,31,45,72,网友透露：RNG确认被收购后会以小虎为中心组队，名字叫小虎队！#英雄联盟# #英雄联盟S12# 
程嘤嘤嘤嘤嘤_,0,4,2,rng 赢一把加7点，输一把扣17点，英雄联盟你有病吧？我真的要生气了 
小二电竞,0,1,35,Doinb直播谈2022年LPL冬转会！#英雄联盟#英雄联盟Doinb直播转会爆料大瓜总结如下：1、RNG除了上路，好像都准备走，小虎如果还留RNG，只有顶级中单年薪的一半。2、明年来的韩援，是在LCK没进世界赛的，但季后赛成绩还可以的人。3、中单位置第一选择是Scout，国产的是Xiaohu；4、LWX不 ...全文
QQ飞车手游官方赛事,1,86,178,s联赛#2022S联赛秋季赛##S联赛全新十速#【2022年S联赛秋季赛常规赛】第五周第三个比赛日第三场第一轮竞速赛RSG vs RNG.M恭喜@RSG电竞俱乐部 拿下本轮比赛胜利！⭐王图选择环节：RSG：老街工地RNG.M：极速航天城⭐BAN图环节：RSG：疾风机场、决战！海滨之眼RNG.M：美洲大峡谷、TRO ...全文
英雄联盟神吐槽,36,411,2247,【评选2022LPL年度最佳阵容，RNG三人当选，TES、EDG颗粒无收！】网友评选今年的年度最佳阵容:当选的分别是上单369，打野Kanavi、中单Xiaohu、下路Gala、辅助Ming。#xiaohu##2022LPL年度最佳阵容##一起看S12决赛# 
无法改昵称ovo,0,10,4,rng 有人互关吗 
泳Y-ong,0,1,1,午休吃饭的时候聊起比赛说李哥可能会捧起第四座s赛奖杯，说到lpl赛区跟lck的区别。聊着聊着朋友问我会不会恨不恨lpl恨 怎么不恨呢。从比赛前的一致对r，从“lpl加油rng除外”到rng新冠后“lpl队伍加油 选手身体健康 rng除外”我就平等的恨这这个赛区，这个赛区双标到令我恶心🤮今年我软跌跌撞撞进 ...全文
